platform,category,ranking_type,ranking_label,rank,product_name,product_key,price,original_price,discount_rate,discount_amount,delivery_type,review_count,rating,price_group,review_group,is_top20,duplicate_in_ranking_type,duplicate_in_platform,duplicate_overall,collected_date,source_file
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,38,"유한메디카 징코 플러스 엔 탑 혈행 기억력 케어, 60정, 1개",유한메디카 징코 플러스 엔 탑 혈행 기억력 케어,10360,24900.0,58,14540.0,로켓배송,3117,4.5,low_price,low_review,False,False,True,True,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,39,"종근당건강 원데이21 멀티비타민 앤 미네랄, 60정, 2개",종근당건강 원데이21 멀티비타민 앤 미네랄,19500,41800.0,53,22300.0,로켓배송,58615,5.0,low_price,high_review,False,False,False,False,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,40,"뉴트리가든 비타민D3 5000IU, 180정, 1개",뉴트리가든 비타민d3 5000iu,12500,19800.0,36,7300.0,로켓배송,40466,5.0,low_price,high_review,False,False,True,True,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,41,"종근당건강 정품 비타민D 2000IU, 90정, 3개",종근당건강 비타민d 2000iu,30330,,0,,로켓배송,46735,5.0,mid_price,high_review,False,False,True,True,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,42,"아텍스 맛있는 키즈비타민 350g, 250정, 1개",아텍스 맛있는 키즈비타민 350g,12830,,0,,로켓배송,3588,5.0,low_price,low_review,False,False,False,False,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,43,"올바른건강식품 곡물효소 프로바이오틱스 블랙, 270g, 1개",올바른건강식품 곡물효소 프로바이오틱스 블랙 270g,17900,21900.0,18,4000.0,로켓배송,14137,5.0,low_price,mid_review,False,False,True,True,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,44,"락토핏 골드 유산균 선물세트, 100g, 3개",락토핏 골드 유산균 선물세트 100g,30150,31000.0,2,850.0,로켓배송,21753,5.0,mid_price,mid_review,False,False,True,True,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,45,"일양약품 프라임 칼슘 마그네슘 비타민D 아연, 180정, 1개",일양약품 프라임 칼슘 마그네슘 비타민d 아연,10850,,0,,로켓배송,4096,4.5,low_price,low_review,False,False,False,False,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,46,"아임비타 멀티비타민 데일리, 60정, 1개",아임비타 멀티비타민 데일리,9800,,0,,로켓배송,11132,5.0,low_price,mid_review,False,False,False,False,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,47,"일양약품 프라임 종합비타민 미네랄 플러스, 180정, 1개",일양약품 프라임 종합비타민 미네랄 플러스,12530,,0,,로켓배송,21847,4.5,low_price,mid_review,False,False,False,False,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
