app_id,title,review_count,avg_review_score,low_score_rate_1_2,ad_complaint_rate,reward_rate,difficulty_rate,repetition_boredom_rate,bug_performance_rate,payment_iap_rate,positive_fun_rate,avg_risk_signal_count,review_risk_score,developer,genre,score,ratings_count,reviews_count,installs,min_installs,real_installs,free,contains_ads,in_app_purchase,updated,content_rating
com.os.space.force.galaxy.alien,Galaxiga: Galaxy Arcade Game,100,4.3,0.12,0.1,0.05,0.04,0.0,0.09,0.06,0.47,0.29,8.249999999999998,1SOFT,Arcade,4.743148,448432.0,37527.0,"100,000,000+",100000000,102374452,True,True,True,2026-05-19 05:18:30,Everyone 10+
com.miniclip.carrom,Carrom Pool: Disc Game,100,3.83,0.28,0.07,0.03,0.01,0.0,0.02,0.0,0.1,0.1,8.200000000000001,Miniclip.com,Sports,4.4832077,7658606.0,8006.0,"500,000,000+",500000000,620026930,True,True,True,2026-05-28 14:59:51,Everyone
com.fgol.HungrySharkEvolution,Hungry Shark Evolution,100,4.3,0.15,0.07,0.05,0.03,0.01,0.08,0.05,0.34,0.24,7.75,Ubisoft Entertainment,Arcade,4.4945774,7597005.0,245312.0,"500,000,000+",500000000,614801910,True,True,True,2026-05-22 01:09:01,Teen
com.gameloft.android.ANMP.GloftICHM,Sonic Runners Adventure game,100,4.2,0.16,0.01,0.01,0.04,0.02,0.1,0.1,0.38,0.27,7.300000000000001,Gameloft SE,Adventure,4.3878627,12721.0,2002.0,"100,000+",100000,313680,False,False,False,2025-07-11 08:57:21,Everyone
com.king.candycrushsodasaga,Candy Crush Soda Saga,100,4.19,0.19,0.04,0.05,0.08,0.0,0.07,0.05,0.37,0.24,7.250000000000001,King,Casual,4.578125,8874939.0,390688.0,"500,000,000+",500000000,616471412,True,True,True,2026-05-22 16:40:32,Everyone
com.inspiredsquare.jupiter,2248 - Numbers Game 2048,100,4.36,0.14,0.12,0.0,0.07,0.0,0.03,0.0,0.35,0.22,7.15,Inspired Square FZE,Puzzle,4.870767,851753.0,23185.0,"50,000,000+",50000000,95165244,True,True,True,2026-05-14 07:57:51,Everyone
com.sega.sprint,Sonic Forces: PvP Race,100,4.26,0.13,0.09,0.04,0.04,0.02,0.05,0.03,0.39,0.23,7.15,SEGA,Adventure,4.46467,1076639.0,65282.0,"100,000,000+",100000000,178674397,True,True,True,2026-06-03 13:12:51,Everyone
com.creations.runnergame,Kooply Run™: Play and Create!,100,3.83,0.26,0.05,0.0,0.02,0.01,0.0,0.01,0.18,0.09,6.950000000000001,KOOPLY,Arcade,4.328889,203985.0,234.0,"50,000,000+",50000000,75512267,True,True,True,2026-06-03 11:24:02,Everyone
bubbleshooter.orig,Bubble Shooter - Classic Pop,100,4.24,0.18,0.1,0.0,0.01,0.0,0.01,0.01,0.11,0.13,6.950000000000001,Bubble Shooter,Puzzle,4.5867267,2340488.0,32261.0,"500,000,000+",500000000,516224507,True,True,True,2026-05-19 13:37:43,Everyone
com.miniclip.eightballpool,8 Ball Pool,100,4.17,0.19,0.06,0.04,0.04,0.0,0.03,0.05,0.22,0.18,6.8500000000000005,Miniclip.com,Sports,4.7959156,31373483.0,982872.0,"1,000,000,000+",1000000000,1312817791,True,True,True,2026-06-01 15:21:07,Everyone
com.dreamgames.royalkingdom,Royal Kingdom,100,4.04,0.19,0.07,0.03,0.07,0.02,0.0,0.05,0.29,0.21,6.7,"Dream Games, Ltd.",Puzzle,4.5741496,2275489.0,24590.0,"50,000,000+",50000000,91595555,True,False,True,2026-06-01 12:27:32,Everyone
com.roblox.client,Roblox,100,3.78,0.26,0.0,0.0,0.0,0.01,0.05,0.01,0.26,0.07,6.7,Roblox Corporation,Adventure,4.185744,48790186.0,3639144.0,"1,000,000,000+",1000000000,1608856083,True,False,True,2026-06-04 16:51:36,Teen
com.imangi.templerun,Temple Run,100,3.96,0.19,0.07,0.01,0.03,0.01,0.02,0.01,0.25,0.14,6.65,Imangi Studios,Arcade,4.225033,5175581.0,327510.0,"500,000,000+",500000000,956272605,True,True,True,2026-06-03 19:24:06,Everyone
com.JindoBlu.OfflineGames,Offline Games - No Wifi Games,100,4.58,0.07,0.15,0.0,0.01,0.0,0.01,0.02,0.39,0.19,6.35,JindoBlu,Casual,4.6400676,457166.0,13820.0,"100,000,000+",100000000,192362829,True,True,True,2026-06-07 20:54:01,Everyone
com.robtopx.geometryjumplite,Geometry Dash Lite,100,4.38,0.1,0.1,0.0,0.11,0.0,0.04,0.03,0.31,0.28,6.3,RobTop Games,Arcade,4.4062986,7759603.0,496823.0,"500,000,000+",500000000,602282023,True,True,False,2026-01-30 14:03:50,Everyone 10+
com.mojang.minecraftpe,"Minecraft: Dream it, Build it!",100,4.39,0.12,0.01,0.01,0.02,0.01,0.12,0.04,0.26,0.2,6.25,Mojang,Arcade,4.3181057,5680480.0,632911.0,"50,000,000+",50000000,90145997,False,False,True,2026-05-21 16:37:56,Everyone 10+
com.playgendary.sportmasters,Bouncemasters: Penguin Games,100,4.57,0.09,0.11,0.02,0.0,0.01,0.03,0.02,0.36,0.17,6.2,CASUAL AZUR GAMES,Arcade,4.4870763,576674.0,23065.0,"100,000,000+",100000000,141922119,True,True,True,2026-05-14 14:57:37,Everyone
com.merge.match3mystery,Mistfall Match: Design & Blast,81,4.419753086419753,0.12345679012345678,0.07407407407407407,0.012345679012345678,0.037037037037037035,0.012345679012345678,0.024691358024691357,0.06172839506172839,0.654320987654321,0.20987654320987653,6.11111111111111,"Flyyes, Inc.",Casual,4.821782,1659.0,58.0,"500,000+",500000,613127,True,True,True,2026-06-04 06:33:00,Everyone 10+
com.nekki.vector,Vector,100,4.48,0.11,0.1,0.01,0.06,0.0,0.03,0.01,0.22,0.2,6.05,NEKKI,Arcade,4.707896,3681639.0,109224.0,"100,000,000+",100000000,269095088,True,True,True,2026-04-03 16:46:20,Everyone 10+
com.crazylabs.lady.bug,Miraculous Ladybug & Cat Noir,100,4.16,0.14,0.04,0.01,0.05,0.02,0.03,0.08,0.35,0.22,5.8500000000000005,CrazyLabs LTD,Action,4.4788074,1069237.0,19933.0,"100,000,000+",100000000,192832328,True,True,True,2026-01-27 09:04:16,Everyone 10+
com.oakever.tiletrip,Tile Explorer - Triple Match,100,4.44,0.13,0.06,0.01,0.02,0.03,0.02,0.05,0.28,0.18,5.8500000000000005,Oakever Games,Puzzle,4.861482,2009987.0,10895.0,"100,000,000+",100000000,223517090,True,True,True,2026-05-27 12:22:17,Everyone
com.firsttouchgames.dls7,Dream League Soccer 2026,100,4.18,0.14,0.06,0.05,0.02,0.01,0.03,0.03,0.19,0.15,5.800000000000001,First Touch Games Ltd.,Sports,4.445404,14036459.0,90800.0,"100,000,000+",100000000,430681040,True,True,True,2026-05-28 15:41:22,Everyone
com.robtopx.geometryjump,Geometry Dash,100,4.56,0.09,0.05,0.03,0.11,0.01,0.08,0.03,0.4,0.28,5.750000000000001,RobTop Games,Arcade,4.74415,1070871.0,152580.0,"10,000,000+",10000000,11174716,False,False,False,2026-01-28 04:14:37,Everyone 10+
com.nekki.shadowfight3,Shadow Fight 3 - RPG fighting,100,4.21,0.14,0.03,0.01,0.01,0.01,0.06,0.04,0.13,0.15,5.750000000000001,NEKKI,Role Playing,4.5902743,4482471.0,75314.0,"100,000,000+",100000000,207883674,True,True,True,2026-06-02 15:19:17,Teen
com.streetrush.runninggame,Street Rush - Running Game,100,3.97,0.2,0.02,0.01,0.0,0.03,0.02,0.0,0.25,0.07,5.550000000000001,IVYGAMES,Action,4.19,16184.0,108.0,"10,000,000+",10000000,15349862,True,True,True,2025-10-31 08:47:22,Everyone
com.ea.game.nfs14_row,Need for Speed™ No Limits,100,4.17,0.17,0.03,0.0,0.01,0.01,0.03,0.01,0.24,0.09,5.300000000000001,ELECTRONIC ARTS,Racing,4.4004445,5244821.0,118086.0,"100,000,000+",100000000,343598577,True,False,True,2026-06-03 05:05:11,Everyone 10+
com.outfit7.talkingtomgoldrun,Talking Tom Gold Run,100,4.31,0.13,0.06,0.01,0.01,0.01,0.02,0.0,0.2,0.1,5.050000000000001,Outfit7 Limited,Action,4.3366213,6404750.0,51287.0,"500,000,000+",500000000,759091580,True,True,True,2026-05-21 13:24:42,Everyone
com.greencod.pinballdeluxereloaded,Pinball Deluxe: Reloaded,100,4.69,0.03,0.11,0.01,0.04,0.0,0.02,0.06,0.58,0.23,5.0,Made Of Bits,Arcade,4.7135415,93612.0,8382.0,"5,000,000+",5000000,6495376,True,True,True,2026-04-16 19:11:25,Everyone
com.king.candycrushjellysaga,Candy Crush Jelly Saga,100,4.3,0.13,0.05,0.01,0.06,0.03,0.01,0.0,0.46,0.15,4.8,King,Puzzle,4.6342163,1802744.0,97435.0,"100,000,000+",100000000,148930637,True,True,True,2026-05-20 08:24:37,Everyone
com.playrix.homescapes,Homescapes,100,4.28,0.13,0.03,0.05,0.05,0.01,0.03,0.04,0.23,0.16,4.8,Playrix,Casual,4.727294,13303582.0,370362.0,"500,000,000+",500000000,516697580,True,False,True,2026-06-02 17:42:58,Everyone
com.gamovation.tileclub,Tile Club - Match Puzzle Games,100,4.31,0.13,0.04,0.01,0.04,0.0,0.03,0.02,0.21,0.13,4.75,GamoVation,Puzzle,4.8347874,792538.0,5559.0,"100,000,000+",100000000,199393205,True,True,True,2026-06-05 10:07:04,Everyone
com.imangi.templerun2,Temple Run 2: Endless Escape,100,4.28,0.12,0.06,0.02,0.01,0.0,0.01,0.03,0.22,0.11,4.75,Imangi Studios,Action,4.093353,9899271.0,374407.0,"1,000,000,000+",1000000000,1216779889,True,True,True,2026-05-25 19:35:25,Everyone 10+
com.rvappstudios.jigsaw.puzzles.kids,Puzzle Kids: Jigsaw Puzzles,100,4.38,0.13,0.04,0.01,0.0,0.01,0.02,0.03,0.35,0.1,4.75,RV AppStudios,Educational,4.4700856,37586.0,395.0,"50,000,000+",50000000,61810556,True,False,False,2026-05-29 15:06:16,Everyone
com.spinmaster.gabbysdollhouse,Gabbys Dollhouse: Games & Cats,100,4.36,0.13,0.03,0.01,0.03,0.01,0.03,0.02,0.46,0.12,4.6000000000000005,Play Piknik,Educational,4.179439,30793.0,1214.0,"10,000,000+",10000000,36447389,True,False,True,2026-05-27 15:11:04,Everyone
com.vectorunit.purple.googleplay,Beach Buggy Racing,100,4.22,0.15,0.02,0.02,0.05,0.01,0.03,0.01,0.24,0.12,4.6,Vector Unit,Racing,4.5103636,2999377.0,35144.0,"100,000,000+",100000000,354158452,True,True,True,2026-05-18 21:02:28,Everyone
com.kiloo.subwaysurf,Subway Surfers,100,4.35,0.14,0.03,0.02,0.01,0.0,0.02,0.02,0.37,0.08,4.4,SYBO Games,Arcade,4.5527244,41703485.0,1763563.0,"1,000,000,000+",1000000000,2887803781,True,True,True,2026-06-08 08:03:49,Everyone 10+
com.kitkagames.fallbuddies,Stumble Guys,100,4.35,0.12,0.01,0.0,0.01,0.0,0.06,0.02,0.28,0.1,4.3999999999999995,Scopely,Action,4.6281466,6707246.0,72928.0,"100,000,000+",100000000,469680856,True,True,True,2026-06-02 09:59:24,Everyone
com.block.juggle,Block Blast!,100,4.64,0.06,0.08,0.01,0.02,0.02,0.02,0.0,0.34,0.14,4.3999999999999995,HungryStudio,Puzzle,4.820772,4769045.0,70652.0,"500,000,000+",500000000,969039804,True,True,True,2026-06-05 12:15:50,Everyone
com.sybogames.subway.surfers.game,Subway Surfers City,100,4.59,0.09,0.04,0.0,0.02,0.0,0.05,0.01,0.3,0.12,4.35,SYBO Games,Action,4.6727467,300195.0,7294.0,"10,000,000+",10000000,31289972,True,True,True,2026-05-15 18:27:57,Everyone 10+
