app_id,title,developer,genre,genre_id,score,ratings_count,reviews_count,installs,min_installs,real_installs,free,price,currency,contains_ads,in_app_purchase,released,content_rating,url,updated
com.os.space.force.galaxy.alien,Galaxiga: Galaxy Arcade Game,1SOFT,Arcade,GAME_ARCADE,4.743148,448432.0,37527.0,"100,000,000+",100000000,102374452,True,0.0,USD,True,True,"Jul 15, 2019",Everyone 10+,https://play.google.com/store/apps/details?id=com.os.space.force.galaxy.alien&hl=en&gl=us,2026-05-19 05:18:30
eu.bandainamcoent.pacman256,PAC-MAN 256 - Endless Maze,BANDAI NAMCO Entertainment Europe,Arcade,GAME_ARCADE,4.1493835,470420.0,28400.0,"10,000,000+",10000000,41576146,True,0.0,USD,True,True,"Aug 18, 2015",Everyone,https://play.google.com/store/apps/details?id=eu.bandainamcoent.pacman256&hl=en&gl=us,2026-04-30 08:22:55
com.nintendo.zara,Super Mario Run,"Nintendo Co., Ltd.",Action,GAME_ACTION,3.8871732,1667936.0,90663.0,"100,000,000+",100000000,276221094,True,0.0,USD,False,True,"Mar 22, 2017",Everyone,https://play.google.com/store/apps/details?id=com.nintendo.zara&hl=en&gl=us,2026-05-12 08:53:29
com.ea.game.pvzfree_row,Plants vs. Zombies™,ELECTRONIC ARTS,Strategy,GAME_STRATEGY,3.8017564,5740623.0,116834.0,"500,000,000+",500000000,636519979,True,0.0,USD,True,True,"Nov 13, 2014",Everyone 10+,https://play.google.com/store/apps/details?id=com.ea.game.pvzfree_row&hl=en&gl=us,2026-05-04 07:41:38
com.kiloo.subwaysurf,Subway Surfers,SYBO Games,Arcade,GAME_ARCADE,4.5527244,41703485.0,1763563.0,"1,000,000,000+",1000000000,2887803781,True,0.0,USD,True,True,"Sep 20, 2012",Everyone 10+,https://play.google.com/store/apps/details?id=com.kiloo.subwaysurf&hl=en&gl=us,2026-06-08 08:03:49
com.halfbrick.fruitninjafree,Fruit Ninja®,Halfbrick Studios,Arcade,GAME_ARCADE,4.512653,5373018.0,213492.0,"500,000,000+",500000000,636641958,True,0.0,USD,True,True,"Jul 20, 2011",Everyone,https://play.google.com/store/apps/details?id=com.halfbrick.fruitninjafree&hl=en&gl=us,2026-05-20 02:52:05
com.fingersoft.hcr2,Hill Climb Racing 2,Fingersoft,Racing,GAME_RACING,4.4680076,4700861.0,146847.0,"100,000,000+",100000000,437854943,True,0.0,USD,True,True,"Nov 27, 2016",Everyone,https://play.google.com/store/apps/details?id=com.fingersoft.hcr2&hl=en&gl=us,2026-06-02 10:41:17
com.greencod.pinballdeluxereloaded,Pinball Deluxe: Reloaded,Made Of Bits,Arcade,GAME_ARCADE,4.7135415,93612.0,8382.0,"5,000,000+",5000000,6495376,True,0.0,USD,True,True,"Nov 20, 2016",Everyone,https://play.google.com/store/apps/details?id=com.greencod.pinballdeluxereloaded&hl=en&gl=us,2026-04-16 19:11:25
com.imangi.templerun2,Temple Run 2: Endless Escape,Imangi Studios,Action,GAME_ACTION,4.093353,9899271.0,374407.0,"1,000,000,000+",1000000000,1216779889,True,0.0,USD,True,True,"Jan 23, 2013",Everyone 10+,https://play.google.com/store/apps/details?id=com.imangi.templerun2&hl=en&gl=us,2026-05-25 19:35:25
com.youmusic.magictiles,Magic Tiles 3™ - Piano Game,AMANOTES PTE. LTD.,Music,GAME_MUSIC,4.5849934,3470087.0,110552.0,"500,000,000+",500000000,818678707,True,0.0,USD,True,True,"Feb 24, 2017",Everyone 10+,https://play.google.com/store/apps/details?id=com.youmusic.magictiles&hl=en&gl=us,2026-06-04 07:56:47
com.playgendary.sportmasters,Bouncemasters: Penguin Games,CASUAL AZUR GAMES,Arcade,GAME_ARCADE,4.4870763,576674.0,23065.0,"100,000,000+",100000000,141922119,True,0.0,USD,True,True,"Sep 15, 2018",Everyone,https://play.google.com/store/apps/details?id=com.playgendary.sportmasters&hl=en&gl=us,2026-05-14 14:57:37
com.fgol.HungrySharkEvolution,Hungry Shark Evolution,Ubisoft Entertainment,Arcade,GAME_ARCADE,4.4945774,7597005.0,245312.0,"500,000,000+",500000000,614801910,True,0.0,USD,True,True,"Feb 22, 2013",Teen,https://play.google.com/store/apps/details?id=com.fgol.HungrySharkEvolution&hl=en&gl=us,2026-05-22 01:09:01
com.ea.game.nfs14_row,Need for Speed™ No Limits,ELECTRONIC ARTS,Racing,GAME_RACING,4.4004445,5244821.0,118086.0,"100,000,000+",100000000,343598577,True,0.0,USD,False,True,"Sep 16, 2015",Everyone 10+,https://play.google.com/store/apps/details?id=com.ea.game.nfs14_row&hl=en&gl=us,2026-06-03 05:05:11
com.gameloft.android.ANMP.GloftA8HM,Asphalt 8 - Car Racing Game,Gameloft SE,Racing,GAME_RACING,4.5854487,11931635.0,286196.0,"500,000,000+",500000000,567233104,True,0.0,USD,True,True,"Aug 20, 2013",Everyone 10+,https://play.google.com/store/apps/details?id=com.gameloft.android.ANMP.GloftA8HM&hl=en&gl=us,2026-06-03 11:48:07
com.gameloft.android.ANMP.GloftDMHM,Minion Rush: Running Game,Gameloft SE,Casual,GAME_CASUAL,4.440686,10454046.0,587925.0,"500,000,000+",500000000,578204097,True,0.0,USD,True,True,"Jun 13, 2013",Everyone 10+,https://play.google.com/store/apps/details?id=com.gameloft.android.ANMP.GloftDMHM&hl=en&gl=us,2026-06-03 17:11:36
com.outfit7.talkingtomgoldrun,Talking Tom Gold Run,Outfit7 Limited,Action,GAME_ACTION,4.3366213,6404750.0,51287.0,"500,000,000+",500000000,759091580,True,0.0,USD,True,True,"Jul 13, 2016",Everyone,https://play.google.com/store/apps/details?id=com.outfit7.talkingtomgoldrun&hl=en&gl=us,2026-05-21 13:24:42
com.imangi.templerun,Temple Run,Imangi Studios,Arcade,GAME_ARCADE,4.225033,5175581.0,327510.0,"500,000,000+",500000000,956272605,True,0.0,USD,True,True,"Mar 26, 2012",Everyone,https://play.google.com/store/apps/details?id=com.imangi.templerun&hl=en&gl=us,2026-06-03 19:24:06
com.sybogames.subway.surfers.game,Subway Surfers City,SYBO Games,Action,GAME_ACTION,4.6727467,300195.0,7294.0,"10,000,000+",10000000,31289972,True,0.0,USD,True,True,"Feb 25, 2026",Everyone 10+,https://play.google.com/store/apps/details?id=com.sybogames.subway.surfers.game&hl=en&gl=us,2026-05-15 18:27:57
com.nekki.shadowfight3,Shadow Fight 3 - RPG fighting,NEKKI,Role Playing,GAME_ROLE_PLAYING,4.5902743,4482471.0,75314.0,"100,000,000+",100000000,207883674,True,0.0,USD,True,True,"Nov 16, 2017",Teen,https://play.google.com/store/apps/details?id=com.nekki.shadowfight3&hl=en&gl=us,2026-06-02 15:19:17
com.outfit7.herodash,Talking Tom: Hero Dash Run,Outfit7 Limited,Action,GAME_ACTION,4.276849,2090247.0,11538.0,"500,000,000+",500000000,544089873,True,0.0,USD,True,True,"Jun 4, 2019",Everyone,https://play.google.com/store/apps/details?id=com.outfit7.herodash&hl=en&gl=us,2026-05-19 12:40:20
com.easybrain.jigsaw.puzzles,Jigsaw Puzzles - Puzzle Games,Easybrain,Puzzle,GAME_PUZZLE,4.759636,2296631.0,106442.0,"100,000,000+",100000000,147084069,True,0.0,USD,True,True,"Apr 10, 2019",Everyone,https://play.google.com/store/apps/details?id=com.easybrain.jigsaw.puzzles&hl=en&gl=us,2026-05-20 14:51:49
com.bandagames.mpuzzle.gp,Magic Jigsaw Puzzles－Games HD,ZiMAD,Puzzle,GAME_PUZZLE,4.6930227,795755.0,68125.0,"100,000,000+",100000000,109554590,True,0.0,USD,True,True,"Feb 24, 2014",Everyone,https://play.google.com/store/apps/details?id=com.bandagames.mpuzzle.gp&hl=en&gl=us,2026-05-29 10:36:38
com.easybrain.block.puzzle.games,Blockudoku®: Block Puzzle Game,Easybrain,Puzzle,GAME_PUZZLE,4.567452,1272085.0,32782.0,"100,000,000+",100000000,122182398,True,0.0,USD,True,True,"Nov 22, 2019",Everyone,https://play.google.com/store/apps/details?id=com.easybrain.block.puzzle.games&hl=en&gl=us,2026-06-03 16:23:43
com.gamovation.tileclub,Tile Club - Match Puzzle Games,GamoVation,Puzzle,GAME_PUZZLE,4.8347874,792538.0,5559.0,"100,000,000+",100000000,199393205,True,0.0,USD,True,True,"May 15, 2023",Everyone,https://play.google.com/store/apps/details?id=com.gamovation.tileclub&hl=en&gl=us,2026-06-05 10:07:04
com.easybrain.sudoku.android,Sudoku.com - Classic Sudoku,Easybrain,Puzzle,GAME_PUZZLE,4.6989245,2398389.0,85359.0,"100,000,000+",100000000,104226504,True,0.0,USD,True,True,"Nov 26, 2017",Everyone,https://play.google.com/store/apps/details?id=com.easybrain.sudoku.android&hl=en&gl=us,2026-06-02 20:34:52
com.inspiredsquare.jupiter,2248 - Numbers Game 2048,Inspired Square FZE,Puzzle,GAME_PUZZLE,4.870767,851753.0,23185.0,"50,000,000+",50000000,95165244,True,0.0,USD,True,True,"Nov 20, 2019",Everyone,https://play.google.com/store/apps/details?id=com.inspiredsquare.jupiter&hl=en&gl=us,2026-05-14 07:57:51
where.my.seat.taken.logic.puzzle.brain.mind,Where's My Seat?・Logic Puzzles,Smartmove Global,Puzzle,GAME_PUZZLE,4.76,3115.0,55.0,"1,000,000+",1000000,2454374,True,0.0,USD,True,True,"May 19, 2026",Everyone,https://play.google.com/store/apps/details?id=where.my.seat.taken.logic.puzzle.brain.mind&hl=en&gl=us,2026-06-05 10:21:25
com.zynga.pottermatch,Harry Potter: Puzzles & Spells,Zynga,Puzzle,GAME_PUZZLE,4.7003646,910542.0,53150.0,"10,000,000+",10000000,24812202,True,0.0,USD,True,True,"Sep 22, 2020",Everyone,https://play.google.com/store/apps/details?id=com.zynga.pottermatch&hl=en&gl=us,2026-05-15 23:55:38
com.easybrain.art.puzzle,Art Puzzle - Puzzle Games,Easybrain,Puzzle,GAME_PUZZLE,4.7746353,1801218.0,42241.0,"100,000,000+",100000000,137376461,True,0.0,USD,True,True,"Sep 7, 2020",Everyone,https://play.google.com/store/apps/details?id=com.easybrain.art.puzzle&hl=en&gl=us,2026-06-02 20:32:37
com.uken.mattel.match,Mattel Match,Uken Games,Puzzle,GAME_PUZZLE,4.7017546,1771.0,37.0,"50,000+",50000,99413,True,0.0,USD,False,True,"Mar 17, 2026",Everyone,https://play.google.com/store/apps/details?id=com.uken.mattel.match&hl=en&gl=us,2026-05-04 17:38:39
com.weplaydots.twodotsandroid,Two Dots: Brain Puzzle Games,PlayDots,Board,GAME_BOARD,4.275713,1157950.0,87667.0,"50,000,000+",50000000,71135999,True,0.0,USD,True,True,"Nov 12, 2014",Everyone,https://play.google.com/store/apps/details?id=com.weplaydots.twodotsandroid&hl=en&gl=us,2026-05-27 13:39:36
com.playrix.gardenscapes,Gardenscapes,Playrix,Casual,GAME_CASUAL,4.7577977,13289291.0,354141.0,"500,000,000+",500000000,593745736,True,0.0,USD,False,True,"Aug 24, 2016",Everyone,https://play.google.com/store/apps/details?id=com.playrix.gardenscapes&hl=en&gl=us,2026-06-05 19:42:41
com.tripledot.triple.tile.match.pair.game.three.master.object,Triple Tile: Match Puzzle Game,Tripledot Studios Limited,Casual,GAME_CASUAL,4.8329406,1052409.0,21764.0,"50,000,000+",50000000,74366925,True,0.0,USD,True,True,"Jul 29, 2021",Everyone,https://play.google.com/store/apps/details?id=com.tripledot.triple.tile.match.pair.game.three.master.object&hl=en&gl=us,2026-04-23 16:03:49
com.rvappstudios.jigsaw.puzzles.kids,Puzzle Kids: Jigsaw Puzzles,RV AppStudios,Educational,GAME_EDUCATIONAL,4.4700856,37586.0,395.0,"50,000,000+",50000000,61810556,True,0.0,USD,False,False,"Jun 28, 2017",Everyone,https://play.google.com/store/apps/details?id=com.rvappstudios.jigsaw.puzzles.kids&hl=en&gl=us,2026-05-29 15:06:16
com.ecffri.arrows,Arrows – Puzzle Escape,Lessmore GmbH,Puzzle,GAME_PUZZLE,4.82062,1001818.0,14251.0,"50,000,000+",50000000,71415575,True,0.0,USD,True,True,"Jul 9, 2025",Everyone,https://play.google.com/store/apps/details?id=com.ecffri.arrows&hl=en&gl=us,2026-05-28 09:09:15
com.oakever.tiletrip,Tile Explorer - Triple Match,Oakever Games,Puzzle,GAME_PUZZLE,4.861482,2009987.0,10895.0,"100,000,000+",100000000,223517090,True,0.0,USD,True,True,"May 17, 2024",Everyone,https://play.google.com/store/apps/details?id=com.oakever.tiletrip&hl=en&gl=us,2026-05-27 12:22:17
com.smallgiantgames.empires,Empires & Puzzles: Match-3 RPG,Small Giant Games,Puzzle,GAME_PUZZLE,4.4654884,2389487.0,97679.0,"50,000,000+",50000000,78073656,True,0.0,USD,True,True,"Mar 1, 2017",Everyone 10+,https://play.google.com/store/apps/details?id=com.smallgiantgames.empires&hl=en&gl=us,2026-05-25 08:06:13
com.Seriously.BestFiends,Best Fiends - Match 3 Puzzles,Playtika,Casual,GAME_CASUAL,4.619021,2274844.0,185313.0,"50,000,000+",50000000,72227587,True,0.0,USD,True,True,"Dec 10, 2014",Everyone,https://play.google.com/store/apps/details?id=com.Seriously.BestFiends&hl=en&gl=us,2026-05-22 16:42:39
