platform,product_key,representative_product_name,category,brand_or_seller,appear_count,ranking_type_count,ranking_types_present,ranking_labels_present,is_in_multiple_ranking_types,best_rank,avg_rank,price_representative,price_median_across_appearances,review_count_representative,review_count_max,rating_representative,rating_median_across_appearances,rank_coupang_rank,rank_coupang_sales,rank_naver_buy_daily,rank_naver_buy_weekly,source_files
coupang,락토핏 당케어 유산균 120g,"락토핏 당케어 유산균, 120g, 1개",헬스/건강식품,,2,2,"coupang_rank, coupang_sales","쿠팡랭킹순, 판매량순",1,35,44.0,13730,13730.0,20318,20318,5.0,5.0,53,35,,,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx | 2026-06-01-12-23-19-쿠팡-헬스-건강식품-판매량순.xlsx
coupang,닥터블릿 이뮨 올인원 멀티비타민앤미네랄 프로,"닥터블릿 정품 이뮨 올인원 멀티비타민앤미네랄 프로, 30회분, 1개",헬스/건강식품,,1,1,coupang_rank,쿠팡랭킹순,0,54,54.0,47900,47900,3040,3040,5.0,5.0,54,,,,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,뉴트리디데이 프리미엄 비오틴 10000,"뉴트리디데이 프리미엄 비오틴 10000, 90정, 1개",헬스/건강식품,,2,2,"coupang_rank, coupang_sales","쿠팡랭킹순, 판매량순",1,55,66.5,12900,12900.0,8748,8748,5.0,5.0,55,78,,,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx | 2026-06-01-12-23-19-쿠팡-헬스-건강식품-판매량순.xlsx
coupang,알유21 비타민 c 4 5g,"알유21 비타민 C 4.5g, 6정, 2개",헬스/건강식품,,1,1,coupang_rank,쿠팡랭킹순,0,56,56.0,6300,6300,13500,13500,5.0,5.0,56,,,,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,오쏘몰 이뮨 멀티비타민,"오쏘몰 이뮨 멀티비타민, 30회분, 1개",헬스/건강식품,,2,2,"coupang_rank, coupang_sales","쿠팡랭킹순, 판매량순",1,7,32.0,81700,81700.0,2854,2854,4.5,4.5,57,7,,,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx | 2026-06-01-12-23-19-쿠팡-헬스-건강식품-판매량순.xlsx
coupang,바이탈프로그램 비타민c 1000mg,"바이탈프로그램 정품 비타민C 1000mg, 600정, 1개",헬스/건강식품,,2,2,"coupang_rank, coupang_sales","쿠팡랭킹순, 판매량순",1,58,75.5,28360,28360.0,68541,68541,5.0,5.0,58,93,,,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx | 2026-06-01-12-23-19-쿠팡-헬스-건강식품-판매량순.xlsx
coupang,솔가 철분 25,"솔가 철분 25, 90정, 1개",헬스/건강식품,,1,1,coupang_rank,쿠팡랭킹순,0,59,59.0,23470,23470,23566,23566,5.0,5.0,59,,,,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,종근당건강 프로폴리스 플러스,"종근당건강 프로폴리스 플러스, 60정, 1개",헬스/건강식품,,1,1,coupang_rank,쿠팡랭킹순,0,60,60.0,7940,7940,8373,8373,4.5,4.5,60,,,,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,종근당건강 프리미엄 비타c 1000플러스,"종근당건강 프리미엄 비타C 1000플러스, 100정, 1개",헬스/건강식품,,2,2,"coupang_rank, coupang_sales","쿠팡랭킹순, 판매량순",1,25,43.0,10450,10450.0,25532,25532,5.0,5.0,61,25,,,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx | 2026-06-01-12-23-19-쿠팡-헬스-건강식품-판매량순.xlsx
coupang,홀리데이즈 멀티비타민 앤 미네랄 포우먼,"홀리데이즈 멀티비타민 앤 미네랄 포우먼, 90정, 1개",헬스/건강식품,,1,1,coupang_rank,쿠팡랭킹순,0,62,62.0,12900,12900,3764,3764,5.0,5.0,62,,,,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
